objectId,nbErrors,errorsTypes,errorsMessages
o91584,3,"type,enum,not",$.@context: array a été trouvé     mais string est attendu    $.@context: na pas de valeur dans lénumération [http://www.w3.org/ns/anno.jsonld]$.@context: ne doit pas être valide pour le schéma "#/definitions/contextArray/not" : {"items":{"not":{"type":"string"    "$ref":"#/definitions/contextValue"}}}
o54542,4,"required,required,required,required",$.inplace[0].position est un champ obligatoire mais manquant    $.inplace[1].position est un champ obligatoire mais manquant    $.inplace[2].position est un champ obligatoire mais manquant$.inplace[3].position est un champ obligatoire mais manquant
o58632,1,oneOf,$.thing: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o44463,1,exclusiveMinimum,$.tx.to.amount: doit avoir une valeur minimale exclusive de 0
o83161,2,"pattern,pattern",$.hasEmail ne correspond pas à lexpression régulière {1}$.hasEmail ne correspond pas à lexpression régulière {1}
o71342,1,format,$.email: ne correspond pas à QTldJRS@rr.rkg du modèle email
o21100,1,required,$.id est un champ obligatoire mais manquant
o45260,3,"type,type,type",$.acl.allow: string a été trouvé     mais array est attendu    $.acl.disallow: string a été trouvé     mais array est attendu$.acl.l: string a été trouvé     mais array est attendu
o14478,4,"required,required,required,required",$[0].eventSourceId est un champ obligatoire mais manquant    $[1].eventSourceId est un champ obligatoire mais manquant    $[2].eventSourceId est un champ obligatoire mais manquant$[3].eventSourceId est un champ obligatoire mais manquant
o76764,1,type,$.time: null a été trouvé     mais integer est attendu
o42021,2,"required,required",$.pipeline[0].run est un champ obligatoire mais manquant$.pipeline[0].flow est un champ obligatoire mais manquant
o14479,1,required,$.eventSourceId est un champ obligatoire mais manquant
o30517,2,"type,type",$.encalgo: string a été trouvé     mais object est attendu$.hashalgo: string a été trouvé     mais object est attendu
o58629,1,exclusiveMinimum,$.integer: doit avoir une valeur minimale exclusive de 0
o48873,1,required,$.password est un champ obligatoire mais manquant
o21093,1,required,$.id est un champ obligatoire mais manquant
o77739,1,required,$.reg_number est un champ obligatoire mais manquant
o17404,2,"format,format",$.email[0]: ne correspond pas à 6-3sYyqnrCq@QmbDnEPpXkJNWUAsZFUVTXBI.veq du modèle email$.email[1]: ne correspond pas à 3A-tVk8cuHm@tpKxiKsMwGkoCRSoZgfAz.jgkv du modèle email
o13,1,required,$[0].name est un champ obligatoire mais manquant
o58917,1,format,$.person.email: ne correspond pas à SCl@oTSoeYXPkMTFhjE.ig du modèle email
o9817,1,oneOf,$: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o27074,1,type,$.default.command: boolean a été trouvé     mais string est attendu
o53085,2,"exclusiveMinimum,exclusiveMinimum",$[0].price: doit avoir une valeur minimale exclusive de 0$[1].price: doit avoir une valeur minimale exclusive de 0
o7276,1,format,$.formats[0].email: ne correspond pas à yLTFhrwzup@yR.lce du modèle email
o69910,4,"format,format,format,format",$.users[0].email: ne correspond pas à QZpyk@OlCTmsGUNAssMXXNsqrvrle.nzve du modèle email    $.users[1].email: ne correspond pas à kx4@jIxZbTmxndHuYXrXJyRqutEgdGYg.hs du modèle email    $.users[2].email: ne correspond pas à 5pP1ZK83@ceZQijKvMYwc.javo du modèle email$.users[3].email: ne correspond pas à SmZz-Jzt@wTVnbCcXWZMiDnYxTGPDvzlRGyXabuUC.xbv du modèle email
o10026,3,"required,required,required",$.key est un champ obligatoire mais manquant    $.value est un champ obligatoire mais manquant$.keys est un champ obligatoire mais manquant
o19087,2,"readOnly,readOnly",$.id: est un champ en lecture seule et ne peut pas être modifié$.updated_at: est un champ en lecture seule et ne peut pas être modifié
o30651,1,type,$.tunneltype: string a été trouvé     mais object est attendu
o25804,3,"readOnly,readOnly,readOnly",$.created: est un champ en lecture seule et ne peut pas être modifié    $.modified: est un champ en lecture seule et ne peut pas être modifié$.unchangeable: est un champ en lecture seule et ne peut pas être modifié
o17121,2,"required,required",$.ressort est un champ obligatoire mais manquant$.organisationseinheit est un champ obligatoire mais manquant
o21095,1,required,$.id est un champ obligatoire mais manquant
o48421,1,minItems,$.games: doit contenir au moins 1 éléments
o44462,2,"exclusiveMinimum,exclusiveMinimum",$.tx.fee: doit avoir une valeur minimale exclusive de 0$.tx.to[0].amount: doit avoir une valeur minimale exclusive de 0
o13129,1,oneOf,$.source: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o6232,2,"format,format",$.members[1].email: ne correspond pas à MaDu@gAurLJoLwqirkm.hfb du modèle email$.members[2].email: ne correspond pas à vKJcvfJfEn4@evlArQvEJRnyPLoLCKJdbJpbOKOWX.zt du modèle email
o5462,17,"required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,additionalProperties",$.stackedRequisitionPacks[0].name est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].description est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].largeImageUrl est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isStack est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isFeatured est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isNew est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].creditPrice est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isPurchasableWithCredits est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isPurchasableFromMarketplace est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].xboxMarketplaceProductId est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].xboxMarketplaceProductUrl est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].merchandisingOrder est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].flair est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].stackedRequisitionPacks est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].id est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].contentId est un champ obligatoire mais manquant$.stackedRequisitionPacks[0].$ref nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires
o63475,2,"required,required",$.X6WA~<Bp[0].responseViolations est un champ obligatoire mais manquant$.X6WA~<Bp[1].responseViolations est un champ obligatoire mais manquant
o5844,1,required,$.farmware_manifest_version_requirement est un champ obligatoire mais manquant
o66053,3,"type,required,required",$.expire_year: string a été trouvé     mais number est attendu    $.id est un champ obligatoire mais manquant$.payment_method est un champ obligatoire mais manquant
o65507,1,required,$.schema est un champ obligatoire mais manquant
o76743,1,required,$.links.content est un champ obligatoire mais manquant
o81746,1,oneOf,$: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o14459,1,required,$.key est un champ obligatoire mais manquant
o58622,10,"readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly",$.TheDateAndTime_ReadOnly: est un champ en lecture seule et ne peut pas être modifié    $.TheTimestamp_ReadOnly: est un champ en lecture seule et ne peut pas être modifié    $.TheDateAndTime_NotReadOnly: est un champ en lecture seule et ne peut pas être modifié    $.TheDateAndTime_NotReadOnly: est un champ en lecture seule et ne peut pas être modifié    $.TheTimestamp_NotReadOnly: est un champ en lecture seule et ne peut pas être modifié    $.TheTimestamp_NotReadOnly: est un champ en lecture seule et ne peut pas être modifié    $.StringValue_ReadOnly: est un champ en lecture seule et ne peut pas être modifié    $.IntegerValue_ReadOnly: est un champ en lecture seule et ne peut pas être modifié    $.NoAdditional: est un champ en lecture seule et ne peut pas être modifié$.NoAdditionalPlusPatternProperties: est un champ en lecture seule et ne peut pas être modifié
o43196,19,"required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,additionalProperties",$.stackedRequisitionPacks[0].name est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].description est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].largeImageUrl est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isStack est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isFeatured est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isGiftOnly est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isNew est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].creditPrice est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isPurchasableWithCredits est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].isPurchasableFromMarketplace est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].xboxMarketplaceProductId est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].xboxMarketplaceProductUrl est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].merchandisingOrder est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].flair est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].giftableAcquisitionMethods est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].stackedRequisitionPacks est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].id est un champ obligatoire mais manquant    $.stackedRequisitionPacks[0].contentId est un champ obligatoire mais manquant$.stackedRequisitionPacks[0].$ref nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires
o36252,1,readOnly,$.type: est un champ en lecture seule et ne peut pas être modifié
o78738,24,"minItems,minItems,minItems,minItems,minItems,minItems,minItems,type,minItems,minItems,minItems,minItems,minItems,minItems,minItems,type,type,minItems,minItems,minItems,minItems,minItems,minItems,minItems",$[0].requirements.prereqs[0]: doit contenir au moins 1 éléments    $[0].requirements.prereqs[1]: doit contenir au moins 1 éléments    $[0].requirements.coreqs[0]: doit contenir au moins 1 éléments    $[0].requirements.coreqs[1]: doit contenir au moins 1 éléments    $[0].requirements.coreqs[2]: doit contenir au moins 1 éléments    $[0].requirements.coreqs[3]: doit contenir au moins 1 éléments    $[0].requirements.coreqs[4]: doit contenir au moins 1 éléments    $[1].description: object a été trouvé     mais string est attendu    $[1].requirements.prereqs[0]: doit contenir au moins 1 éléments    $[1].requirements.prereqs[1]: doit contenir au moins 1 éléments    $[1].requirements.prereqs[2]: doit contenir au moins 1 éléments    $[1].requirements.coreqs[0]: doit contenir au moins 1 éléments    $[1].requirements.coreqs[1]: doit contenir au moins 1 éléments    $[1].requirements.coreqs[2]: doit contenir au moins 1 éléments    $[1].requirements.coreqs[3]: doit contenir au moins 1 éléments    $[2].description: object a été trouvé     mais string est attendu    $[3].description: object a été trouvé     mais string est attendu    $[3].requirements.prereqs[0]: doit contenir au moins 1 éléments    $[3].requirements.prereqs[1]: doit contenir au moins 1 éléments    $[3].requirements.coreqs[0]: doit contenir au moins 1 éléments    $[3].requirements.coreqs[1]: doit contenir au moins 1 éléments    $[3].requirements.coreqs[2]: doit contenir au moins 1 éléments    $[3].requirements.coreqs[3]: doit contenir au moins 1 éléments$[3].requirements.coreqs[4]: doit contenir au moins 1 éléments
o89218,3,"oneOf,oneOf,oneOf",$[0]: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}    $[1]: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}$[2]: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o41759,13,"readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly",$[0].kind: est un champ en lecture seule et ne peut pas être modifié    $[0].metadata.createdOn: est un champ en lecture seule et ne peut pas être modifié    $[0].metadata.modifiedOn: est un champ en lecture seule et ne peut pas être modifié    $[0].metadata.ref: est un champ en lecture seule et ne peut pas être modifié    $[0].metadata.gwRef: est un champ en lecture seule et ne peut pas être modifié    $[1].kind: est un champ en lecture seule et ne peut pas être modifié    $[1].metadata.modifiedOn: est un champ en lecture seule et ne peut pas être modifié    $[1].metadata.ref: est un champ en lecture seule et ne peut pas être modifié    $[1].metadata.gwRef: est un champ en lecture seule et ne peut pas être modifié    $[2].kind: est un champ en lecture seule et ne peut pas être modifié    $[2].metadata.createdOn: est un champ en lecture seule et ne peut pas être modifié    $[2].metadata.modifiedOn: est un champ en lecture seule et ne peut pas être modifié$[2].metadata.gwRef: est un champ en lecture seule et ne peut pas être modifié
o51260,2,"required,required",$.targets[1].strategy est un champ obligatoire mais manquant$.targets[2].strategy est un champ obligatoire mais manquant
o5271,11,"exclusiveMinimum,exclusiveMinimum,exclusiveMinimum,exclusiveMinimum,exclusiveMinimum,exclusiveMinimum,exclusiveMinimum,exclusiveMinimum,exclusiveMinimum,exclusiveMinimum,exclusiveMinimum",$.Elements[0][1]: doit avoir une valeur minimale exclusive de 0    $.Elements[0][2]: doit avoir une valeur minimale exclusive de 0    $.Elements[1][2]: doit avoir une valeur minimale exclusive de 0    $.Elements[2][1]: doit avoir une valeur minimale exclusive de 0    $.Elements[2][2]: doit avoir une valeur minimale exclusive de 0    $.Values[0].ElementIndices[0]: doit avoir une valeur minimale exclusive de 0    $.Values[0].Id: doit avoir une valeur minimale exclusive de -1    $.Values[1].ElementIndices[0]: doit avoir une valeur minimale exclusive de 0    $.Values[1].ElementIndices[2]: doit avoir une valeur minimale exclusive de 0    $.Values[1].ElementIndices[3]: doit avoir une valeur minimale exclusive de 0$.Values[1].Id: doit avoir une valeur minimale exclusive de -1
o19226,1,type,$.markers[0].point: object a été trouvé     mais array est attendu
o68603,23,"readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly,readOnly",$[0].kind: est un champ en lecture seule et ne peut pas être modifié    $[0].metadata.createdOn: est un champ en lecture seule et ne peut pas être modifié    $[0].metadata.modifiedOn: est un champ en lecture seule et ne peut pas être modifié    $[0].metadata.ref: est un champ en lecture seule et ne peut pas être modifié    $[0].spec.credentials.username: est un champ en lecture seule et ne peut pas être modifié    $[1].kind: est un champ en lecture seule et ne peut pas être modifié    $[1].metadata.createdOn: est un champ en lecture seule et ne peut pas être modifié    $[1].metadata.modifiedOn: est un champ en lecture seule et ne peut pas être modifié    $[1].metadata.ref: est un champ en lecture seule et ne peut pas être modifié    $[1].spec.credentials.username: est un champ en lecture seule et ne peut pas être modifié    $[2].kind: est un champ en lecture seule et ne peut pas être modifié    $[2].metadata.modifiedOn: est un champ en lecture seule et ne peut pas être modifié    $[2].metadata.ref: est un champ en lecture seule et ne peut pas être modifié    $[2].spec.credentials.username: est un champ en lecture seule et ne peut pas être modifié    $[3].kind: est un champ en lecture seule et ne peut pas être modifié    $[3].metadata.modifiedOn: est un champ en lecture seule et ne peut pas être modifié    $[3].metadata.ref: est un champ en lecture seule et ne peut pas être modifié    $[3].spec.credentials.username: est un champ en lecture seule et ne peut pas être modifié    $[4].kind: est un champ en lecture seule et ne peut pas être modifié    $[4].metadata.createdOn: est un champ en lecture seule et ne peut pas être modifié    $[4].metadata.modifiedOn: est un champ en lecture seule et ne peut pas être modifié    $[4].metadata.ref: est un champ en lecture seule et ne peut pas être modifié$[4].spec.credentials.username: est un champ en lecture seule et ne peut pas être modifié
o13131,5,"oneOf,oneOf,oneOf,oneOf,oneOf",$.calendar_id: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}    $.title: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}    $.end_date: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}    $.is_recurring: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}$.is_allday: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o79452,3,"type,type,type",$.packages[0].versions.reprehenderit_3: boolean a été trouvé     mais string est attendu    $.packages[0].versions.pariatur_344: integer a été trouvé     mais string est attendu$.packages[3].versions.minim_5ae: boolean a été trouvé     mais string est attendu
o90967,2,"additionalProperties,oneOf",$.parts.one nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires$.parts: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o39084,1,oneOf,$.from: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o58619,1,enum,$.justRefs: na pas de valeur dans lénumération [red     orange     6     9.0     null]
o30802,1,type,$.builtin: string a été trouvé     mais object est attendu
o30360,1,type,$.builtin: string a été trouvé     mais object est attendu
o24464,1,required,$.lastUpdateDate est un champ obligatoire mais manquant
o54613,1,oneOf,$.author.email: devrait être valide pour un et un seul des schémas     mais plus dun sont valides : {1}
o30776,1,type,$.mode: string a été trouvé     mais object est attendu
o84344,5,"readOnly,readOnly,readOnly,readOnly,required",$._created_by: est un champ en lecture seule et ne peut pas être modifié    $._id: est un champ en lecture seule et ne peut pas être modifié    $.created_at: est un champ en lecture seule et ne peut pas être modifié    $.is_active: est un champ en lecture seule et ne peut pas être modifié$.id est un champ obligatoire mais manquant
o27787,10,"required,required,required,additionalProperties,additionalProperties,required,required,required,additionalProperties,additionalProperties",$.content[0].children[0].children[0].id est un champ obligatoire mais manquant    $.content[0].children[0].children[0].id est un champ obligatoire mais manquant    $.content[0].children[0].children[0].cwe est un champ obligatoire mais manquant    $.content[0].children[0].children[0].children nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires    $.content[0].children[0].children nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires    $.content[0].children[1].id est un champ obligatoire mais manquant    $.content[0].children[1].id est un champ obligatoire mais manquant    $.content[0].children[1].cwe est un champ obligatoire mais manquant    $.content[0].children[1].children nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires$.content[0].children nest pas défini dans le schéma et le schéma nautorise pas de propriétés supplémentaires
o30275,1,type,$.builtin: string a été trouvé     mais object est attendu
o33964,1,required,$.created_at est un champ obligatoire mais manquant
