objectId,nbErrors,errorsTypes,errorsMessages
kb_105_Normalized,1,type,$.metadata.managedFields[1].time: object a été trouvé     mais string est attendu
kb_405_Normalized,1,required,$.metrics[0].resource.target.type est un champ obligatoire mais manquant
kb_404_Normalized,10,"required,required,required,required,required,required,required,required,required,required",$.metrics[0].object.describedObject est un champ obligatoire mais manquant    $.metrics[0].object.target.type est un champ obligatoire mais manquant    $.metrics[0].pods.metric.name est un champ obligatoire mais manquant    $.metrics[0].pods.target.type est un champ obligatoire mais manquant    $.metrics[0].resource.target.type est un champ obligatoire mais manquant    $.metrics[1].object.describedObject est un champ obligatoire mais manquant    $.metrics[1].object.target.type est un champ obligatoire mais manquant    $.metrics[2].pods.metric.name est un champ obligatoire mais manquant    $.metrics[2].pods.target.type est un champ obligatoire mais manquant$.metrics[2].resource.target.type est un champ obligatoire mais manquant
kb_855_Normalized,1,type,$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu
kb_1027_Normalized,3,"type,type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.metadata.managedFields[1].time: object a été trouvé     mais string est attendu$.metadata.managedFields[2].time: object a été trouvé     mais string est attendu
kb_1070_Normalized,2,"type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu$.metadata.managedFields[1].time: object a été trouvé     mais string est attendu
kb_1071_Normalized,1,type,$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu
kb_169_Normalized,3,"type,type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.metadata.managedFields[1].time: object a été trouvé     mais string est attendu$.metadata.managedFields[2].time: object a été trouvé     mais string est attendu
kb_898_Normalized,3,"type,type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.metadata.managedFields[2].time: object a été trouvé     mais string est attendu$.metadata.managedFields[4].time: object a été trouvé     mais string est attendu
kb_897_Normalized,3,"type,type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.metadata.managedFields[2].time: object a été trouvé     mais string est attendu$.metadata.managedFields[4].time: object a été trouvé     mais string est attendu
kb_83_Normalized,2,"type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu$.metadata.managedFields[1].time: object a été trouvé     mais string est attendu
kb_955_Normalized,2,"type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu$.metadata.managedFields[2].time: object a été trouvé     mais string est attendu
kb_517_Normalized,6,"type,type,type,type,type,type",$.items[1].metadata.managedFields[1].time: object a été trouvé     mais string est attendu    $.items[1].metadata.managedFields[2].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[1].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[2].time: object a été trouvé     mais string est attendu$.items[2].metadata.managedFields[3].time: object a été trouvé     mais string est attendu
kb_516_Normalized,5,"type,type,type,type,type",$.items[2].metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[1].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[2].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[4].time: object a été trouvé     mais string est attendu$.items[2].spec.renewTime: object a été trouvé     mais string est attendu
kb_544_Normalized,3,"type,type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.metadata.managedFields[1].time: object a été trouvé     mais string est attendu$.metadata.managedFields[2].time: object a été trouvé     mais string est attendu
kb_210_Normalized,4,"type,type,type,type",$.schema.openAPIV3Schema.allOf[1]: null a été trouvé     mais object est attendu    $.schema.openAPIV3Schema.allOf[2]: string a été trouvé     mais object est attendu    $.schema.openAPIV3Schema.allOf[3]: boolean a été trouvé     mais object est attendu$.schema.openAPIV3Schema.allOf[4]: boolean a été trouvé     mais object est attendu
kb_24_Normalized,3,"type,type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.metadata.managedFields[1].time: object a été trouvé     mais string est attendu$.metadata.managedFields[2].time: object a été trouvé     mais string est attendu
kb_445_Normalized,1,type,$.items[4].metadata.managedFields[0].time: object a été trouvé     mais string est attendu
kb_326_Normalized,1,type,$.series.lastObservedTime: object a été trouvé     mais string est attendu
kb_324_Normalized,3,"type,type,type",$.metadata.creationTimestamp: object a été trouvé     mais string est attendu    $.metadata.deletionTimestamp: object a été trouvé     mais string est attendu$.series.lastObservedTime: object a été trouvé     mais string est attendu
kb_858_Normalized,4,"type,type,type,type",$.items[1].metadata.managedFields[1].time: object a été trouvé     mais string est attendu    $.items[1].metadata.managedFields[2].time: object a été trouvé     mais string est attendu    $.items[1].metadata.managedFields[3].time: object a été trouvé     mais string est attendu$.items[2].metadata.deletionTimestamp: object a été trouvé     mais string est attendu
kb_305_Normalized,4,"type,type,type,type",$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.metadata.managedFields[1].time: object a été trouvé     mais string est attendu    $.metadata.managedFields[2].time: object a été trouvé     mais string est attendu$.metadata.managedFields[3].time: object a été trouvé     mais string est attendu
kb_94_Normalized,1,type,$.items[3].metadata.creationTimestamp: object a été trouvé     mais string est attendu
kb_93_Normalized,2,"type,type",$.items[0].metadata.managedFields[0].time: object a été trouvé     mais string est attendu$.items[0].metadata.managedFields[1].time: object a été trouvé     mais string est attendu
kb_578_Normalized,3,"type,type,type",$.items[1].metadata.creationTimestamp: object a été trouvé     mais string est attendu    $.items[1].metadata.deletionTimestamp: object a été trouvé     mais string est attendu$.items[1].metadata.managedFields[0].time: object a été trouvé     mais string est attendu
kb_529_Normalized,4,"type,type,type,type",$.items[3].metadata.creationTimestamp: object a été trouvé     mais string est attendu    $.items[3].metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.items[3].metadata.managedFields[2].time: object a été trouvé     mais string est attendu$.items[3].metadata.managedFields[3].time: object a été trouvé     mais string est attendu
kb_163_Normalized,2,"type,type",$.items[1].metadata.deletionTimestamp: object a été trouvé     mais string est attendu$.items[2].metadata.creationTimestamp: object a été trouvé     mais string est attendu
kb_494_Normalized,1,type,$: null a été trouvé     mais object est attendu
kb_496_Normalized,1,type,$: null a été trouvé     mais object est attendu
kb_495_Normalized,1,type,$: null a été trouvé     mais object est attendu
kb_45_Normalized,2,"type,type",$.items[0].metadata.managedFields[0].time: object a été trouvé     mais string est attendu$.items[0].metadata.managedFields[2].time: object a été trouvé     mais string est attendu
kb_328_Normalized,8,"type,type,type,type,type,type,type,type",$.items[1].firstTimestamp: object a été trouvé     mais string est attendu    $.items[1].metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.items[1].metadata.managedFields[2].time: object a été trouvé     mais string est attendu    $.items[2].firstTimestamp: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[1].time: object a été trouvé     mais string est attendu    $.items[3].firstTimestamp: object a été trouvé     mais string est attendu$.items[3].metadata.managedFields[0].time: object a été trouvé     mais string est attendu
kb_695_Normalized,8,"type,type,type,type,type,type,type,type",$.items[1].metadata.creationTimestamp: object a été trouvé     mais string est attendu    $.items[1].metadata.deletionTimestamp: object a été trouvé     mais string est attendu    $.items[2].metadata.creationTimestamp: object a été trouvé     mais string est attendu    $.items[2].metadata.deletionTimestamp: object a été trouvé     mais string est attendu    $.items[2].spec.minAvailable: object a été trouvé     mais integer est attendu    $.items[2].spec.minAvailable: object a été trouvé     mais string est attendu    $.items[3].metadata.creationTimestamp: object a été trouvé     mais string est attendu$.items[3].metadata.deletionTimestamp: object a été trouvé     mais string est attendu
kb_770_Normalized,8,"type,type,type,type,type,type,type,type",$.items[1].metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.items[2].metadata.creationTimestamp: object a été trouvé     mais string est attendu    $.items[2].metadata.deletionTimestamp: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[1].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[2].time: object a été trouvé     mais string est attendu    $.items[2].metadata.managedFields[3].time: object a été trouvé     mais string est attendu$.items[2].metadata.managedFields[4].time: object a été trouvé     mais string est attendu
kb_569_Normalized,1,type,$.metadata.managedFields[0].time: object a été trouvé     mais string est attendu
kb_449_Normalized,3,"type,type,type",$.items[1].metadata.managedFields[0].time: object a été trouvé     mais string est attendu    $.items[1].metadata.managedFields[3].time: object a été trouvé     mais string est attendu$.items[1].metadata.managedFields[4].time: object a été trouvé     mais string est attendu
kb_978_Normalized,2,"type,type",$.items[0].metadata.managedFields[0].time: object a été trouvé     mais string est attendu$.items[4].metadata.creationTimestamp: object a été trouvé     mais string est attendu
kb_366_Normalized,5,"type,type,type,type,type",$.items[2].status.conditions[0].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[2].status.conditions[1].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[2].status.conditions[2].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[2].status.conditions[3].lastTransitionTime: object a été trouvé     mais string est attendu$.items[2].status.conditions[4].lastTransitionTime: object a été trouvé     mais string est attendu
kb_322_Normalized,6,"type,type,type,type,type,type",$.lifecycle.postStart.tcpSocket.port: object a été trouvé     mais integer est attendu    $.lifecycle.postStart.tcpSocket.port: object a été trouvé     mais string est attendu    $.lifecycle.preStop.httpGet.port: object a été trouvé     mais string est attendu    $.lifecycle.preStop.httpGet.port: object a été trouvé     mais integer est attendu    $.lifecycle.preStop.tcpSocket.port: object a été trouvé     mais integer est attendu$.lifecycle.preStop.tcpSocket.port: object a été trouvé     mais string est attendu
kb_120_Normalized,6,"type,type,type,type,required,required",$.lifecycle.postStart.httpGet.port: object a été trouvé     mais string est attendu    $.lifecycle.postStart.httpGet.port: object a été trouvé     mais integer est attendu    $.lifecycle.postStart.tcpSocket.port: object a été trouvé     mais integer est attendu    $.lifecycle.postStart.tcpSocket.port: object a été trouvé     mais string est attendu    $.lifecycle.preStop.httpGet.port est un champ obligatoire mais manquant$.lifecycle.preStop.tcpSocket.port est un champ obligatoire mais manquant
kb_119_Normalized,9,"type,type,type,type,required,required,required,required,required",$.lifecycle.postStart.tcpSocket.port: object a été trouvé     mais integer est attendu    $.lifecycle.postStart.tcpSocket.port: object a été trouvé     mais string est attendu    $.lifecycle.preStop.httpGet.port: object a été trouvé     mais string est attendu    $.lifecycle.preStop.httpGet.port: object a été trouvé     mais integer est attendu    $.lifecycle.preStop.tcpSocket.port est un champ obligatoire mais manquant    $.livenessProbe.httpGet.port est un champ obligatoire mais manquant    $.livenessProbe.tcpSocket.port est un champ obligatoire mais manquant    $.readinessProbe.httpGet.port est un champ obligatoire mais manquant$.readinessProbe.tcpSocket.port est un champ obligatoire mais manquant
kb_391_Normalized,3,"type,required,required",$.status.conditions[0].lastTransitionTime: object a été trouvé     mais string est attendu    $.status.currentMetrics[1].object.describedObject est un champ obligatoire mais manquant$.status.currentMetrics[2].object.describedObject est un champ obligatoire mais manquant
kb_399_Normalized,65,"type,type,type,required,required,type,type,type,type,required,required,type,type,type,type,type,type,type,type,type,type,type,type,required,required,type,type,type,type,type,type,type,type,type,type,type,type,required,required,type,type,type,type,type,type,required,required,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type",$.items[0].status.conditions[0].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[0].status.conditions[1].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[0].status.conditions[2].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[2].spec.metrics[0].object.target.kind est un champ obligatoire mais manquant    $.items[2].spec.metrics[0].object.target.name est un champ obligatoire mais manquant    $.items[2].spec.metrics[0].object.targetValue: object a été trouvé     mais number est attendu    $.items[2].spec.metrics[0].object.targetValue: object a été trouvé     mais string est attendu    $.items[2].spec.metrics[0].pods.targetAverageValue: object a été trouvé     mais string est attendu    $.items[2].spec.metrics[0].pods.targetAverageValue: object a été trouvé     mais number est attendu    $.items[2].spec.scaleTargetRef.kind est un champ obligatoire mais manquant    $.items[2].spec.scaleTargetRef.name est un champ obligatoire mais manquant    $.items[2].status.conditions[0].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[2].status.conditions[1].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[2].status.conditions[2].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[2].status.currentMetrics[0].pods.currentAverageValue: object a été trouvé     mais string est attendu    $.items[2].status.currentMetrics[0].pods.currentAverageValue: object a été trouvé     mais number est attendu    $.items[3].metadata.creationTimestamp: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[0].external.targetAverageValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[0].external.targetAverageValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[0].external.targetValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[0].external.targetValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[0].object.averageValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[0].object.averageValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[0].object.target.kind est un champ obligatoire mais manquant    $.items[3].spec.metrics[0].object.target.name est un champ obligatoire mais manquant    $.items[3].spec.metrics[0].object.targetValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[0].object.targetValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[0].pods.targetAverageValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[0].pods.targetAverageValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[0].resource.targetAverageValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[0].resource.targetAverageValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[1].external.targetAverageValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[1].external.targetAverageValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[1].external.targetValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[1].external.targetValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[1].object.averageValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[1].object.averageValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[1].object.target.kind est un champ obligatoire mais manquant    $.items[3].spec.metrics[1].object.target.name est un champ obligatoire mais manquant    $.items[3].spec.metrics[1].object.targetValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[1].object.targetValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[1].pods.targetAverageValue: object a été trouvé     mais number est attendu    $.items[3].spec.metrics[1].pods.targetAverageValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[1].resource.targetAverageValue: object a été trouvé     mais string est attendu    $.items[3].spec.metrics[1].resource.targetAverageValue: object a été trouvé     mais number est attendu    $.items[3].spec.scaleTargetRef.kind est un champ obligatoire mais manquant    $.items[3].spec.scaleTargetRef.name est un champ obligatoire mais manquant    $.items[3].status.conditions[0].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[3].status.conditions[1].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[3].status.conditions[2].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[3].status.conditions[3].lastTransitionTime: object a été trouvé     mais string est attendu    $.items[3].status.currentMetrics[0].external.currentAverageValue: object a été trouvé     mais string est attendu    $.items[3].status.currentMetrics[0].external.currentAverageValue: object a été trouvé     mais number est attendu    $.items[3].status.currentMetrics[0].external.currentValue: object a été trouvé     mais number est attendu    $.items[3].status.currentMetrics[0].external.currentValue: object a été trouvé     mais string est attendu    $.items[3].status.currentMetrics[0].pods.currentAverageValue: object a été trouvé     mais number est attendu    $.items[3].status.currentMetrics[0].pods.currentAverageValue: object a été trouvé     mais string est attendu    $.items[3].status.currentMetrics[1].external.currentAverageValue: object a été trouvé     mais string est attendu    $.items[3].status.currentMetrics[1].external.currentAverageValue: object a été trouvé     mais number est attendu    $.items[3].status.currentMetrics[1].external.currentValue: object a été trouvé     mais number est attendu    $.items[3].status.currentMetrics[1].external.currentValue: object a été trouvé     mais string est attendu    $.items[3].status.currentMetrics[1].pods.currentAverageValue: object a été trouvé     mais number est attendu    $.items[3].status.currentMetrics[1].pods.currentAverageValue: object a été trouvé     mais string est attendu    $.items[3].status.currentMetrics[2].external.currentValue: object a été trouvé     mais string est attendu$.items[3].status.currentMetrics[2].external.currentValue: object a été trouvé     mais number est attendu
kb_190_Normalized,52,"type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type",$.spec.versions[1].additionalPrinterColumns[0].description: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[0].format: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[0].jsonPath: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[0].name: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[0].type: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[1].description: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[1].jsonPath: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[1].name: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[1].type: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[2].description: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[2].format: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[2].jsonPath: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[2].name: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[2].priority: object a été trouvé     mais integer est attendu    $.spec.versions[1].additionalPrinterColumns[2].type: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[3].description: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[3].format: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[3].jsonPath: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[3].name: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[3].priority: object a été trouvé     mais integer est attendu    $.spec.versions[1].additionalPrinterColumns[3].type: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[4].description: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[4].format: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[4].jsonPath: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[4].name: object a été trouvé     mais string est attendu    $.spec.versions[1].additionalPrinterColumns[4].priority: object a été trouvé     mais integer est attendu    $.spec.versions[1].additionalPrinterColumns[4].type: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[0].description: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[0].format: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[0].jsonPath: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[0].name: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[0].priority: object a été trouvé     mais integer est attendu    $.spec.versions[2].additionalPrinterColumns[0].type: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[1].description: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[1].format: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[1].jsonPath: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[1].name: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[1].priority: object a été trouvé     mais integer est attendu    $.spec.versions[2].additionalPrinterColumns[1].type: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[2].description: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[2].format: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[2].jsonPath: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[2].name: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[2].priority: object a été trouvé     mais integer est attendu    $.spec.versions[2].additionalPrinterColumns[2].type: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[3].description: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[3].format: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[3].jsonPath: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[3].name: object a été trouvé     mais string est attendu    $.spec.versions[2].additionalPrinterColumns[3].priority: object a été trouvé     mais integer est attendu    $.spec.versions[2].additionalPrinterColumns[3].type: object a été trouvé     mais string est attendu$.spec.versions[2].schema.openAPIV3Schema: boolean a été trouvé     mais object est attendu
kb_192_Normalized,13,"type,type,type,type,type,type,type,type,type,type,type,type,type",$.spec.validation.openAPIV3Schema.definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[0].schema.openAPIV3Schema.allOf[0].definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[1].schema.openAPIV3Schema.allOf[0].definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[1].schema.openAPIV3Schema.allOf[1].definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[3].schema.openAPIV3Schema.allOf[0].definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[3].schema.openAPIV3Schema.allOf[3].definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[3].schema.openAPIV3Schema.allOf[4].definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[3].schema.openAPIV3Schema.definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[4].schema.openAPIV3Schema.allOf[0].definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[4].schema.openAPIV3Schema.allOf[1].definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[4].schema.openAPIV3Schema.allOf[2].definitions.type: string a été trouvé     mais object est attendu    $.spec.versions[4].schema.openAPIV3Schema.definitions.type: string a été trouvé     mais object est attendu$.spec.versions[4].schema.openAPIV3Schema.properties.commodo_ea.definitions.type: string a été trouvé     mais object est attendu
kb_1104_Normalized,2,"type,type",$.emptyDir.sizeLimit: object a été trouvé     mais string est attendu$.emptyDir.sizeLimit: object a été trouvé     mais number est attendu
kb_675_Normalized,2,"type,type",$.items[0].metadata.managedFields[0].time: object a été trouvé     mais string est attendu$.items[0].metadata.managedFields[1].time: object a été trouvé     mais string est attendu
kb_714_Normalized,2,"type,type",$.volumes[2].downwardAPI.items[0].resourceFieldRef.divisor: object a été trouvé     mais string est attendu$.volumes[2].downwardAPI.items[0].resourceFieldRef.divisor: object a été trouvé     mais number est attendu
kb_710_Normalized,22,"type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type",$.spec.env[0].valueFrom.resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.env[0].valueFrom.resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.env[1].valueFrom.resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.env[1].valueFrom.resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.env[2].valueFrom.resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.env[2].valueFrom.resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.env[4].valueFrom.resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.env[4].valueFrom.resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.volumes[0].downwardAPI.items[0].resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.volumes[0].downwardAPI.items[0].resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.volumes[0].downwardAPI.items[3].resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.volumes[0].downwardAPI.items[3].resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.volumes[0].downwardAPI.items[4].resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.volumes[0].downwardAPI.items[4].resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.volumes[1].downwardAPI.items[0].resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.volumes[1].downwardAPI.items[0].resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.volumes[1].downwardAPI.items[1].resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.volumes[1].downwardAPI.items[1].resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.volumes[2].downwardAPI.items[1].resourceFieldRef.divisor: object a été trouvé     mais string est attendu    $.spec.volumes[2].downwardAPI.items[1].resourceFieldRef.divisor: object a été trouvé     mais number est attendu    $.spec.volumes[2].downwardAPI.items[2].resourceFieldRef.divisor: object a été trouvé     mais number est attendu$.spec.volumes[2].downwardAPI.items[2].resourceFieldRef.divisor: object a été trouvé     mais string est attendu
kb_709_Normalized,1,type,$.metadata.managedFields[1].time: object a été trouvé     mais string est attendu
